127.0.0.1, 2016-10-15 02:38:45, GET, /posting_site/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000986
127.0.0.1, 2016-10-15 02:38:45, GET, /posting_site/static/js/jquery.js, HTTP/1.1, 304, 0.000833
127.0.0.1, 2016-10-15 02:38:45, GET, /posting_site/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.000797
127.0.0.1, 2016-10-15 02:38:45, GET, /posting_site/static/css/myapp.css, HTTP/1.1, 200, 0.006522
127.0.0.1, 2016-10-15 02:38:45, GET, /posting_site/static/css/calendar.css, HTTP/1.1, 304, 0.000751
127.0.0.1, 2016-10-15 02:38:45, GET, /posting_site/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.001450
127.0.0.1, 2016-10-15 02:38:45, GET, /posting_site/static/js/calendar.js, HTTP/1.1, 304, 0.000830
127.0.0.1, 2016-10-15 02:38:45, GET, /posting_site/static/js/web2py.js, HTTP/1.1, 304, 0.000863
127.0.0.1, 2016-10-15 02:38:45, GET, /posting_site/static/js/share.js, HTTP/1.1, 304, 0.001038
127.0.0.1, 2016-10-15 02:38:45, GET, /posting_site/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.004510
127.0.0.1, 2016-10-15 02:38:45, GET, /posting_site/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.001115
127.0.0.1, 2016-10-15 02:38:45, GET, /posting_site/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.005453
127.0.0.1, 2016-10-15 02:38:45, GET, /posting_site/static/images/gplus-32.png, HTTP/1.1, 304, 0.001002
127.0.0.1, 2016-10-15 02:38:45, GET, /posting_site/static/images/facebook.png, HTTP/1.1, 304, 0.002049
127.0.0.1, 2016-10-15 02:38:45, GET, /posting_site/static/images/twitter.png, HTTP/1.1, 304, 0.008220
127.0.0.1, 2016-10-15 02:38:45, GET, /posting_site/static/images/favicon.ico, HTTP/1.1, 200, 0.001005
127.0.0.1, 2016-10-15 02:38:48, GET, /, HTTP/1.1, 200, 0.063165
127.0.0.1, 2016-10-15 02:38:48, GET, /posting_site/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.001050
127.0.0.1, 2016-10-15 02:38:48, GET, /posting_site/static/css/myapp.css, HTTP/1.1, 304, 0.001114
127.0.0.1, 2016-10-15 02:38:48, GET, /posting_site/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.003081
127.0.0.1, 2016-10-15 02:38:48, GET, /posting_site/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.001625
127.0.0.1, 2016-10-15 02:38:48, GET, /posting_site/static/js/jquery.js, HTTP/1.1, 304, 0.001051
127.0.0.1, 2016-10-15 02:38:48, GET, /posting_site/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.009687
127.0.0.1, 2016-10-15 02:38:48, GET, /posting_site/static/css/calendar.css, HTTP/1.1, 304, 0.000793
127.0.0.1, 2016-10-15 02:38:48, GET, /posting_site/static/js/calendar.js, HTTP/1.1, 304, 0.000824
127.0.0.1, 2016-10-15 02:38:48, GET, /posting_site/static/js/web2py.js, HTTP/1.1, 304, 0.000796
127.0.0.1, 2016-10-15 02:38:48, GET, /posting_site/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000952
127.0.0.1, 2016-10-15 02:38:48, GET, /posting_site/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000889
127.0.0.1, 2016-10-15 02:38:48, GET, /posting_site/static/js/share.js, HTTP/1.1, 304, 0.000826
127.0.0.1, 2016-10-15 02:38:49, GET, /posting_site/static/images/twitter.png, HTTP/1.1, 304, 0.001484
127.0.0.1, 2016-10-15 02:38:49, GET, /posting_site/static/images/facebook.png, HTTP/1.1, 304, 0.000757
127.0.0.1, 2016-10-15 02:38:49, GET, /posting_site/static/images/gplus-32.png, HTTP/1.1, 304, 0.007526
127.0.0.1, 2016-10-15 02:38:49, GET, /posting_site/static/images/favicon.ico, HTTP/1.1, 200, 0.001046
127.0.0.1, 2016-10-15 02:38:56, GET, /, HTTP/1.1, 200, 0.073315
127.0.0.1, 2016-10-15 02:38:56, GET, /posting_site/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000857
127.0.0.1, 2016-10-15 02:38:56, GET, /posting_site/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.003551
127.0.0.1, 2016-10-15 02:38:56, GET, /posting_site/static/css/myapp.css, HTTP/1.1, 304, 0.000857
127.0.0.1, 2016-10-15 02:38:56, GET, /posting_site/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000955
127.0.0.1, 2016-10-15 02:38:56, GET, /posting_site/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.008967
127.0.0.1, 2016-10-15 02:38:56, GET, /posting_site/static/js/jquery.js, HTTP/1.1, 304, 0.000774
127.0.0.1, 2016-10-15 02:38:56, GET, /posting_site/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001774
127.0.0.1, 2016-10-15 02:38:56, GET, /posting_site/static/js/web2py.js, HTTP/1.1, 304, 0.001089
127.0.0.1, 2016-10-15 02:38:56, GET, /posting_site/static/js/share.js, HTTP/1.1, 304, 0.002966
127.0.0.1, 2016-10-15 02:38:56, GET, /posting_site/static/js/calendar.js, HTTP/1.1, 304, 0.005199
127.0.0.1, 2016-10-15 02:38:56, GET, /posting_site/static/css/calendar.css, HTTP/1.1, 304, 0.007332
127.0.0.1, 2016-10-15 02:38:56, GET, /posting_site/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.001432
127.0.0.1, 2016-10-15 02:38:56, GET, /posting_site/static/images/twitter.png, HTTP/1.1, 304, 0.002950
127.0.0.1, 2016-10-15 02:38:56, GET, /posting_site/static/images/gplus-32.png, HTTP/1.1, 304, 0.001753
127.0.0.1, 2016-10-15 02:38:56, GET, /posting_site/static/images/facebook.png, HTTP/1.1, 304, 0.001283
127.0.0.1, 2016-10-15 02:38:56, GET, /posting_site/static/images/favicon.ico, HTTP/1.1, 200, 0.001169
127.0.0.1, 2016-10-15 02:39:13, GET, /, HTTP/1.1, 200, 0.045375
127.0.0.1, 2016-10-15 02:39:13, GET, /posting_site/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001125
127.0.0.1, 2016-10-15 02:39:13, GET, /posting_site/static/css/myapp.css, HTTP/1.1, 304, 0.003409
127.0.0.1, 2016-10-15 02:39:13, GET, /posting_site/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.000851
